id,origintime,latitude,longitude,depth,err_lon,err_lat,err_depth,err_origintime,county,origin_src,prefmag,pmag_type,pmag_src,mw,mw_src,mblg_ogs,mblg_usgs,ml_ogs,m3hz_ogs,md_ogs,mb,ms,mfa,max_mmi,reafile,reamtime,geom,pdlid,mw_ogs
19861,52:24.0,36.93892,-98.01817,5.589,0.8,0.4,0.9,0.37,GRANT,OGS,3,MW,OGS,,,,,3.4,,,,,,0,/home/analyst/REA/OGS__/2015/09/02-2352-01L.S201509,51:46.3,0101000020E61000002CF180B2298158C0B9C7D2872E784240,13370,3
19865,30:19.7,36.51392,-98.56204,5.054,1.3,0.5,1.9,0.35,WOODS,OGS,2.6,ML,OGS,,,,,2.6,,,,,,0,/home/analyst/REA/OGS__/2015/09/03-0029-31L.S201509,44:34.9,0101000020E6100000CEC29E76F8A358C052616C21C8414240,,
19864,49:42.0,36.58902,-98.30961,4.139,0.9,0.5,1.4,0.35,ALFALFA,OGS,2.5,ML,OGS,,,,,2.5,,,,,,0,/home/analyst/REA/OGS__/2015/09/03-1248-53L.S201509,08:09.4,0101000020E6100000EF2076A6D09358C04F58E201654B4240,,
19874,43:03.1,36.5579,-97.19237,7.662,0.9,0.6,2.2,0.41,NOBLE,OGS,2.5,ML,OGS,,,,,2.5,,,,,,0,/home/analyst/REA/OGS__/2015/09/03-1942-22L.S201509,56:27.3,0101000020E6100000D1AE42CA4F4C58C01D38674469474240,13371,
19875,08:05.4,36.55749,-97.19653,5,1,0.7,2.6,0.5,NOBLE,OGS,2.6,ML,OGS,,,,,2.6,,,,,,0,/home/analyst/REA/OGS__/2015/09/03-2006-57L.S201509,42:34.6,0101000020E6100000B4AB90F2934C58C06CEC12D55B474240,13372,
19890,54:20.9,36.84082,-97.79472,5,0.8,0.5,1.2,0.42,GRANT,OGS,2.4,ML,OGS,,,,,2.4,,,,,,0,/home/analyst/REA/OGS__/2015/09/04-0553-55L.S201509,55:58.1,0101000020E6100000895E46B1DC7258C04FE960FD9F6B4240,,
19883,34:35.3,36.68899,-98.61595,6.001,0.8,0.5,1.7,0.34,WOODS,OGS,2.6,ML,OGS,,,,,2.6,,,,,,0,/home/analyst/REA/OGS__/2015/09/04-0634-21L.S201509,04:10.4,0101000020E6100000287E8CB96BA758C0B1A206D330584240,13373,
19972,13:56.3,36.54377,-97.71144,6.131,0.7,0.4,1.4,0.36,GARFIELD,OGS,2.5,ML,OGS,,,,,2.5,,,,,,0,/home/analyst/REA/OGS__/2015/09/04-1213-01L.S201509,42:15.2,0101000020E61000003D44A33B886D58C0E1455F419A454240,13394,
19971,09:33.4,36.02522,-97.12579,4.723,0.7,0.4,1.2,0.33,PAYNE,OGS,2.5,ML,OGS,,,,,2.5,,,,,,0,/home/analyst/REA/OGS__/2015/09/04-1708-50L.S201509,23:53.0,0101000020E61000007C0A80F10C4858C0419AB1683A034240,13393,
19901,30:18.5,36.27706,-97.26698,5,0.9,0.5,0,0.39,NOBLE,OGS,2.8,ML,OGS,,,,,2.8,,,,,,0,/home/analyst/REA/OGS__/2015/09/04-1729-36L.S201509,23:59.7,0101000020E6100000E92B4833165158C0CF83BBB376234240,,
19969,11:15.1,35.77074,-97.48642,6.992,0.7,0.4,0.7,0.34,LOGAN,OGS,2.5,ML,OGS,,,,,2.5,,,,,,0,/home/analyst/REA/OGS__/2015/09/04-2010-24L.S201509,59:51.9,0101000020E6100000B3075A81215F58C00ADCBA9BA7E24140,,
19930,56:51.5,35.61385,-96.89064,4.982,0.8,0.5,1.3,0.35,LINCOLN,OGS,2.7,ML,OGS,,,,,2.7,,,,,,0,/home/analyst/REA/OGS__/2015/09/04-2156-13L.S201509,03:34.0,0101000020E61000009B20EA3E003958C0265305A392CE4140,,
19913,03:00.9,36.66891,-97.74095,6.995,0.6,0.3,1,0.35,GRANT,OGS,2.9,ML,OGS,,,,,2.9,,,,,,0,/home/analyst/REA/OGS__/2015/09/04-2202-39L.S201509,36:13.5,0101000020E6100000287E8CB96B6F58C0D2FBC6D79E554240,13374,
19916,42:24.0,36.44676,-97.11826,5,0.9,0.4,0,0.43,NOBLE,OGS,2.9,ML,OGS,,,,,2.9,,,,,,0,/home/analyst/REA/OGS__/2015/09/05-0841-42L.S201509,22:29.6,0101000020E6100000331B6492914758C09A94826E2F394240,13377,
19933,13:22.2,36.82036,-97.62212,4.989,0.7,0.5,1.3,0.4,GRANT,OGS,2.5,ML,OGS,,,,,2.5,,,,,,0,/home/analyst/REA/OGS__/2015/09/05-0912-42L.S201509,38:47.6,0101000020E6100000008C67D0D06758C02979758E01694240,,
19918,53:22.1,36.96703,-97.96928,3.859,0.6,0.3,0.8,0.34,GRANT,OGS,2.3,ML,OGS,,,,,2.3,,,,,,0,/home/analyst/REA/OGS__/2015/09/05-1152-35L.S201509,16:23.2,0101000020E6100000AE2AFBAE087E58C01D2098A3C77B4240,13379,
19925,49:33.7,36.33133,-97.81457,7.342,0.9,0.4,1.5,0.31,GARFIELD,OGS,2.5,ML,OGS,,,,,2.5,,,,,,0,/home/analyst/REA/OGS__/2015/09/05-1449-09L.S201509,17:03.4,0101000020E6100000609335EA217458C083177D05692A4240,13383,
19970,17:36.9,36.55195,-98.32067,5,1.3,0.5,1.2,0.3,ALFALFA,OGS,2.3,ML,OGS,,,,,2.3,,,,,,0,/home/analyst/REA/OGS__/2015/09/05-1917-11L.S201509,35:10.9,0101000020E6100000BCB376DB859458C07B832F4CA6464240,,
19924,22:07.7,36.83813,-97.51186,4.727,0.7,0.5,1.4,0.39,GRANT,OGS,2.5,ML,OGS,,,,,2.5,,,,,,0,/home/analyst/REA/OGS__/2015/09/05-2221-49L.S201509,57:54.5,0101000020E61000005B087250C26058C0F3E505D8476B4240,13382,
19921,46:43.5,35.53546,-96.76,6.876,0.5,0.5,0.9,0.3,LINCOLN,OGS,2.7,ML,OGS,,,,,2.7,,,,,,0,/home/analyst/REA/OGS__/2015/09/05-2346-04L.S201509,54:24.7,0101000020E6100000713D0AD7A33058C078280AF489C44140,,
19923,59:26.4,36.93719,-97.93195,3.276,0.7,0.4,1.2,0.35,GRANT,OGS,2.5,ML,OGS,,,,,2.5,,,,,,0,/home/analyst/REA/OGS__/2015/09/06-0858-43L.S201509,12:11.0,0101000020E610000076E09C11A57B58C0B21188D7F5774240,13381,
19968,18:52.3,36.93682,-97.68775,5,0.5,0.4,0,0.35,GRANT,OGS,2.4,ML,OGS,,,,,2.4,,,,,,0,/home/analyst/REA/OGS__/2015/09/06-1018-11L.S201509,00:01.4,0101000020E6100000BC749318046C58C08E1EBFB7E9774240,,
19917,32:36.8,36.93759,-97.6897,5,0.7,0.5,0,0.45,GRANT,OGS,2.8,ML,OGS,,,,,2.8,,,,,,0,/home/analyst/REA/OGS__/2015/09/06-1031-59L.S201509,02:57.7,0101000020E61000004703780B246C58C04087F9F202784240,13378,
19920,02:11.9,36.56966,-97.39559,7.039,0.8,0.4,1.8,0.34,NOBLE,OGS,2.6,ML,OGS,,,,,2.6,,,,,,0,/home/analyst/REA/OGS__/2015/09/06-1301-39L.S201509,41:44.3,0101000020E6100000FA27B858515958C070EB6E9EEA484240,,
19915,40:47.1,36.50698,-99.01669,6.824,1.9,0.8,2.1,0.33,WOODWARD,OGS,2.6,ML,OGS,,,,,2.6,,,,,,1,/home/analyst/REA/OGS__/2015/09/06-1540-19L.S201509,09:18.6,0101000020E61000008542041C42C158C006F52D73BA404240,13376,
19919,36:50.1,36.19839,-97.14769,5.939,0.9,0.4,1.7,0.41,NOBLE,OGS,2.6,ML,OGS,,,,,2.6,,,,,,0,/home/analyst/REA/OGS__/2015/09/06-2036-04L.S201509,07:34.7,0101000020E61000008FFCC1C0734958C03EEDF0D764194240,,
