API_COUNTY,API_NUMBER,COUNTY_CODE,SECTION,TOWNSHIP,RANGE,LEASE_NAME,WELL_NUMBER,STATUS,QUARTER4,QUARTER3,QUARTER2,QUARTER1,WELL_TYPE,MAXPRESSURE,MAXRATE,LAST_MIT_DATE,FORMATION,FORMATION_TOP_DEPTH,FORMATION_BOTTOM_DEPTH,PACKERDEPTH,ORDER_NUMBER,LATITUDE,LONGITUDE,OPERATOR#,OPERATOR,STIPULATIONS,                                                                                                       
25,20104,25,26,03N,09E,SMKSU (OTIS HANES 13)         ,13,TM,    ,NW  ,SW  ,SE  ,2R ,200,500,10/22/02,LANSING                                 ,3772,3792,3708,368565,36.69206,-102.0569,21068,WEGO SERVICES INC                       ,                                                                                       ,
25,35323,25,26,01N,09E,HAWKINS  H S                  ,2,PA,    ,C   ,NW  ,SE  ,2D ,300,150,          ,TOPEKA & MASSIVE LIME                   ,3362,3446,3312,422128,36.520763,-102.0557,13734,TEXACO EXPLORATION & PROD INC           ,                                                                                       ,
25,20226,25,1,03N,09E,CAREY-GOWDY UNIT              ,8,PA,    ,NW  ,SE  ,SE  ,2D ,1000,400,9/7/05,MORROW                                  ,4635,4654,4600,357714,36.750001,-102.0343,21003,XTO ENERGY INC                          ,                                                                                       ,
0,0,139,35,05N,13E,WEST HOUGH MORROW UNIT  (TERM),19,TM,    ,    ,SE  ,NE  ,2R ,2500,2000,          ,MORROW                                  ,6072,6202,5972,11091,36.857617,-101.616,1489,EXXONMOBIL OIL CORPORATION              ,                                                                                       ,
7,36079,7,33,01N,20E,CAMRICK UNIT (L BRANSGROVE 3) ,3311,AC,    ,    ,SE  ,NE  ,2R ,2000,710,3/27/12,UPPER MORROW SAND                       ,7352,7372,7300,82652,36.508321,-100.9048,16896,CHAPARRAL ENERGY LLC                    ,                                                                                       ,
7,35923,7,22,01N,20E,CAMRICK UNIT                  ,2271,AC,    ,    ,NW  ,SE  ,2R ,2000,565,5/14/08,UPPER MORROW SAND                       ,7296,7400,7280,80974,36.53377,-100.8913,16896,CHAPARRAL ENERGY LLC                    ,                                                                                       ,
7,21250,7,19,02N,21E,ANNA BRYAN                    ,2,AC,    ,S2  ,SW  ,SW  ,2D ,500,2000,3/6/12,WOLFCAMP SAND                           ,3130,4200,3130,414169,36.616445,-100.8462,15484,H & L DISPOSAL WELLS INC                ,                                                                                       ,
7,21916,7,6,03N,21E,STICKLER                    24, 359-2 ,AC,    ,   C,SW  ,NE  ,2R ,2000,2200,7/23/09,LOWER MIDDLE CHESTER                    ,6591,6618,6550,389473,36.755116,-100.8372,16896,CHAPARRAL ENERGY LLC                    ,                                                                                       ,
7,23946,7,16,05N,22E,CARTER                        , 2-16  ,PA,    ,C   ,NW  ,NW  ,2D ,1000,2000,3/31/08,RED CAVE                                ,1528,1667,1606,380704,36.904758,-100.6907,17595,TRUEBLOOD RESOURCES INC                 ,                                                                                       ,
7,22115,7,30,04N,24E,NICHOLS                       ,2,TM,    ,SE  ,SW  ,SW  ,2D ,1000,10000,9/8/10,COUNCIL GROVE                           ,3740,3835,3650,395913,36.776649,-100.5207,13447,NICHOLS WATER SERVICE INC               ,                                                                                       ,
7,21423,7,31,04N,24E,BARBY                         ,1,TM,    ,    ,SW  ,NE  ,2D ,500,1000,3/13/03,MARMATON                                ,5804,5806,5758,424015,36.770305,-100.5128,20594,BEELER P F LLC                          ,                                                                                       ,
7,30203,7,30,06N,24E,NICHOLS SWD                   ,3,AC,    ,SE  ,SW  ,NE  ,2D ,500,10000,10/12/11,CHASE/COUNCIL GROVE                     ,2790,3760,2700,407349,36.958506,-100.4999,13447,NICHOLS WATER SERVICE INC               ,                                                                                       ,
7,45358,7,21,03N,24E,STARCHER                      ,1,AC,    ,C   ,NW  ,SE  ,2D ,0,0,          ,                                        ,         ,         ,           ,450053,36.708696,-100.4768,4536,BETTIS BOYLE & STOVALL                  ,                                                                                       ,
7,22483,7,36,06N,24E,ADAMS                         , 2-36  ,PA,    ,SE  ,SE  ,NE  ,2D ,1500,4000,3/20/01,CHASE GROUP                             ,2700,2960,2600,247873,36.94404,-100.4051,16198,B & G PRODUCTION INC                    ,                                                                                       ,
7,22714,7,21,01N,25E,MEHNERT                       , A-3   ,AC,E2  ,W2  ,SE  ,SW  ,2D ,50,300,7/7/08,BROWN DOLOMITE                          ,3240,3500,3150,402536,36.531052,-100.3737,1701,CONOCOPHILLIPS COMPANY                  ,                                                                                       ,
7,36172,7,6,03N,27E,BARBY RANCH                   , 1-44  ,AC,    ,NE  ,NE  ,SW  ,2D ,0,500,2/2/10,COUNCIL GROVE                           ,3546,3600,3500,413702,36.752888,-100.1918,18246,CABOT OIL & GAS CORPORATION             ,                                                                                       ,
45,21547,45,26,18N,26W,DETRIXHE                      ,2,TM,    ,    ,C   ,SE  ,2R ,5500,3000,4/20/95,ATOKA                                   ,11462,11482,11340,352740,36.00306,-99.93966,6722,MEWBOURNE OIL COMPANY                   ,                                                                                       ,
9,20118,9,26,10N,26W,POSEY                         ,1,AC,    ,    ,C   ,SW  ,2D ,1000,2000,2/8/12,BROWN DOLOMITE                          ,4250,4900,4100,359622,35.309171,-99.92527,17441,CHESAPEAKE OPERATING INC                ,                                                                                       ,
45,21553,45,25,18N,26W,BARTON                        ,2,TM,    ,    ,C   ,NE  ,2R ,5500,3000,4/20/95,ATOKA                                   ,11335,11344,10890,359153,36.010345,-99.9218,6722,MEWBOURNE OIL COMPANY                   ,                                                                                       ,
45,21579,45,30,18N,25W,THAD MILLER                   ,1,TM,    ,SE  ,SW  ,NE  ,2R ,5500,3000,4/20/95,ATOKA                                   ,11266,11281,11226,352739,36.007656,-99.90505,6722,MEWBOURNE OIL COMPANY                   ,                                                                                       ,
59,35555,59,28,25N,25W,HARPER FARMS                  ,1,AC,    ,C   ,SE  ,NW  ,2D ,1400,5000,10/19/11,PER/PENN/MISSISSIPPI                    ,3050,4700,3025,404663,36.618187,-99.9014,22507,BULLDOG DISPOSAL INC                    ,                                                                                       ,
45,21557,45,29,18N,25W,APPEL                         ,1,TM,    ,NE  ,SW  ,SW  ,2R ,5500,9000,4/20/95,ATOKA                                   ,11278,11295,10721,353464,36.002245,-99.89611,6722,MEWBOURNE OIL COMPANY                   ,                                                                                       ,
45,20829,45,28,18N,25W,SHAU RICHARDS 28              ,1,TM,    ,    ,C   ,SW  ,2R ,6000,6000,4/20/95,ATOKA                                   ,11226,11244,0,364941,36.003176,-99.87713,6722,MEWBOURNE OIL COMPANY                   ,                                                                                       ,
9,20301,9,32,09N,25W,HEAD                          ,1,AC,    ,SE  ,NW  ,NW  ,2D ,800,4000,6/21/12,BROWN DOLOMITE                          ,3084,3126,3000,261312,35.215884,-99.87329,14932,ERICK DISPOSAL WELL INC                 ,                                                                                       ,
9,20301,9,32,09N,25W,HEAD                          ,1,AC,    ,SE  ,NW  ,NW  ,2D ,800,4000,6/21/12,GRANITE WASH                            ,3750,4150,3000,261312,35.215884,-99.87329,14932,ERICK DISPOSAL WELL INC                 ,                                                                                       ,
9,20856,9,34,11N,25W,NORTHEAST MAYFIELD            ,34,AC,    ,NE  ,NW  ,NW  ,2D ,1500,2500,2/8/12,                                        ,         ,         ,4405,423903,35.391804,-99.83794,17441,CHESAPEAKE OPERATING INC                ,                                                                                       ,
9,30000,9,15,09N,25W,DURAN                         ,1,AC,    ,SW  ,NE  ,NE  ,2D ,1000,3000,8/15/12,BROWN DOLOMITE                          ,3690,3720,3615,392368,35.259446,-99.82686,22878,TDTM TRANSPORTS LLC                     ,                                                                                       ,
9,30000,9,15,09N,25W,DURAN                         ,1,AC,    ,SW  ,NE  ,NE  ,2D ,1000,3000,8/15/12,MISSOURIAN LIME                         ,6450,6480,3615,392368,35.259446,-99.82686,22878,TDTM TRANSPORTS LLC                     ,                                                                                       ,
57,20078,57,35,02N,25W,HARMON                        , 7-3   ,PA,    ,SW  ,SE  ,NE  ,2D ,1000,200,3/14/01,CANYON                                  ,3240,3255,3215,412262,34.602763,-99.7926,19777,LEWIS OIL CORPORATION                   ,                                                                                       ,
45,71,45,26,21N,24W,ELLEDGE                       ,1,AC,    ,C   ,NW  ,SE  ,2D ,1000,3250,9/19/11,PERMIAN WOLFAMP SAND                    ,4234,4334,4198,349522,36.266322,-99.7376,22044,FEMCO SWD INC                           ,                                                                                       ,
9,20466,9,13,10N,23W,WHITE                         , 1-13  ,AC,    ,NW  ,SW  ,NE  ,2D ,1500,5000,2/10/12,WOLFCAMP                                ,4408,5260,4258,396522,35.3447,-99.58361,17458,ODESSA OIL INVESTMENT CO INC            ,                                                                                       ,
45,21811,45,3,19N,22W,EHU                           , 14-3  ,AC,NE  ,SW  ,SE  ,SW  ,2R ,3000,3000,6/15/11,COTTAGE GROVE                           ,8060,8082,8017,402884,36.145917,-99.53605,22029,QUANTUM RESOURCES MANAGEMENT LLC        ,                                                                                       ,
45,21812,45,10,19N,22W,EHU                           , 6-10  ,AC,NE  ,SE  ,SE  ,NW  ,2R ,3000,3000,6/16/11,COTTAGE GROVE                           ,8070,8135,8050,402885,36.138665,-99.53381,22029,QUANTUM RESOURCES MANAGEMENT LLC        ,                                                                                       ,
45,21486,45,3,19N,22W,WARD                          , 1-3   ,TM,C   ,C   ,SE  ,SE  ,2R ,3000,3000,7/26/04,COTTAGE GROVE                           ,8024,8045,7911,402881,36.146371,-99.52655,20166,KERR-MCGEE OIL & GAS ONSHORE LP         ,                                                                                       ,
45,30015,45,3,19N,22W,GUY H. DOUGLAS                , 1-3   ,TM,C   ,C   ,SE  ,NE  ,2R ,3000,3000,7/19/06,COTTAGE GROVE                           ,8052,8067,8000,402878,36.153622,-99.52655,22029,QUANTUM RESOURCES MANAGEMENT LLC        ,                                                                                       ,
45,21535,45,15,18N,22W,DCCGU                         ,2,TM,S/2 ,NE  ,SE  ,SE  ,2R ,2500,1250,4/30/07,COTTAGE GROVE                           ,8515,8530,8400,404955,36.031252,-99.52543,1259,LARIO OIL AND GAS COMPANY               ,                                                                                       ,
45,21444,45,23,18N,22W,DCCGU                         ,4,TM,C   ,W2  ,NW  ,NW  ,2R ,2500,1250,4/30/07,COTTAGE GROVE                           ,8500,8520,8350,404956,36.026691,-99.52318,1259,LARIO OIL AND GAS COMPANY               ,                                                                                       ,
45,21290,45,23,18N,22W,DCCGU                         ,6,AC,    ,SW  ,NE  ,SW  ,2R ,2500,1250,5/31/12,COTTAGE GROVE                           ,8520,8543,8400,405141,36.018533,-99.51872,1259,LARIO OIL AND GAS COMPANY               ,                                                                                       ,
